key	status	category	reason	location	title
CPythonDocs	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	CPython Object Implementation: Object Structure
Cardelli1985	keep	architecture_type_theory_support	Supports type/architecture analogies stated in implications prose.	docs/papers/paper4_decision_quotient/latex_toc/content/06_implications_for_software_architecture.tex:227	On Understanding Types, Data Abstraction, and Polymorphism
Codd1990	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The Relational Model for Database Management: Version 2
CoverThomas2006	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Elements of Information Theory
DNABarcoding	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Biological identifications through DNA barcodes
Grunwald2007	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The Minimum Description Length Principle
ISBN	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	ISBN Users' Manual
JVMSpec	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The Java Virtual Machine Specification: Chapter 2.5 Runtime Data Areas
JavaDocs	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Java Object: getClass()
Kolmogorov1965	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Three Approaches to the Definition of the Concept of Information Quantity
Lean2015	keep	formalization_prior_work	Supports explicit mechanization/verification lineage claims.	docs/papers/paper4_decision_quotient/latex_toc/content/01_introduction.tex:95	The Lean Theorem Prover
LiVitanyi2008	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	An Introduction to Kolmogorov Complexity and Its Applications
Pierce2002	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Types and Programming Languages
PythonDocs	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Python Data Model: type()
RustDocs	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Rust std::any::type\_id
RustTraitObjects	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The Rust Reference: Trait Objects
Shannon1948	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A Mathematical Theory of Communication
Structural2014	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Certified Programming with Dependent Types
Tishby2000	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The Information Bottleneck Method
TypeScriptDocs	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	TypeScript Handbook: Type Compatibility
Welsh1976	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Matroid Theory
abadi1996theory	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A theory of objects
abdelgawad2014noop	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	NOOP: A domain-theoretic model for object-oriented programming
abdelgawad2016nominal	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Why nominal-typing matters in OOP
ahlswede1989identification	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Identification via Channels
ahlswede1989identification2	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Identification in the Presence of Feedback---A Discovery of New Capacity Formulas
akerlof1970market	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The Market for ``Lemons'': Quality Uncertainty and the Market Mechanism
allen1997formal	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A Formal Basis for Architectural Connection
aumann1976agreeing	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Agreeing to Disagree
aumann1995backward	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Backward induction and common knowledge of rationality
bachmann2000cbam	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Characterizing, Planning, and Managing Technical Debt
barrett1996monotonic	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A monotonic superclass linearization for Dylan
basili1996comparing	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A Validation of Object-Oriented Design Metrics as Quality Indicators
bass2012software	keep	architecture_type_theory_support	Supports type/architecture analogies stated in implications prose.	docs/papers/paper4_decision_quotient/latex_toc/content/06_implications_for_software_architecture.tex:3	Software Architecture in Practice
beck1999extreme	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Extreme Programming Explained: Embrace Change
beck1999xp	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Extreme Programming Explained: Embrace Change
bender2021dangers	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?
berger1971rate	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Rate Distortion Theory: A Mathematical Basis for Data Compression
bierman2014typescript	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Understanding {TypeScript
birs2012interactive	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Interactive Information Theory (12w5119)
blahut1972computation	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Computation of Channel Capacity and Rate-Distortion Functions
blau2019rethinking	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Rethinking Lossy Compression: The Rate-Distortion-Perception Tradeoff
blum1967machine	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A machine-independent theory of the complexity of recursive functions
blum1967size	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	On the Size of Machines
bobrow1986commonloops	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	CommonLoops: Merging Lisp and Object-Oriented Programming
boehm1981software	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Software Engineering Economics
bommasani2021opportunities	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	On the Opportunities and Risks of Foundation Models
brewer2000cap	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Towards Robust Distributed Systems
brooks1987no	keep	architecture_type_theory_support	Supports type/architecture analogies stated in implications prose.	docs/papers/paper4_decision_quotient/latex_toc/content/06_implications_for_software_architecture.tex:3	No Silver Bullet: Essence and Accidents of Software Engineering
buhrman2002complexity	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Computational Complexity of Discrete Problems
burnashev1976data	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Data Transmission over a Discrete Channel with Feedback
cardelli1988semantics	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A semantics of multiple inheritance
chickering2004large	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Large-Sample Learning of {Bayesian
chidamber1994metrics	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A Metrics Suite for Object Oriented Design
cho1987signaling	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Signaling Games and Stable Equilibria
chugh2012nested	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Nested Refinements: A Logic for Duck Typing
codd1970relational	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	A Relational Model of Data for Large Shared Data Banks
cook1989inheritance	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Inheritance is not subtyping
cook1990inheritance	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Inheritance is not subtyping
cook2018complexity	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The {P
cousot1977abstract	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Abstract Interpretation: A Unified Lattice Model for Static Analysis of Programs by Construction or Approximation of Fixpoints
cover2006elements	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Elements of Information Theory
crawford1982strategic	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Strategic Information Transmission
csiszar2011information	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Information Theory: Coding Theorems for Discrete Memoryless Systems
cunningham1992wycash	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	The WyCash Portfolio Management System
czarnecki2000generative	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Generative Programming: Methods, Tools, and Applications
damasevicius2010complexity	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Complexity metrics for metaprograms
damasevicius2010metrics	drop	unscoped_or_nonessential	No remaining claim-specific dependence after integrity pass.	-	Assessment of the Relative Complexity and Difficulty of Software Development Methods
