statement_label	statement_type	short_claim_name	current_toc_file	lean_handles	dependency_class	downstream_owner	downstream_treatment	notes
thm:counting-gap-intro	theorem	Counting Gap	latex_toc/content/01_introduction.tex:17	BA10	physical	C	cite only	Intro preview with bounded-capacity/event-cost framing; keep out of Papers A and B as a full theorem.
thm:bayes-optimal	theorem	Bayes Minimizes Expected Log Loss	latex_toc/content/01_introduction.tex:36	FN7,FN12,FN14	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:measure-prerequisite	theorem	Measure-Theoretic Typing	latex_toc/content/01_introduction.tex:56	MN1,MN2,MN10,MN11	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:quotient-universal	theorem	Universal Property of the Optimizer Quotient	latex_toc/content/01_introduction.tex:77	QT1,QT2,QT3,QT5,QT7	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:checking-duality	theorem	Checking-Witnessing Duality	latex_toc/content/01_introduction.tex:100	WD1,WD2,WD3	A-only	A	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:bayes-from-counting	theorem	Probability Axioms from Counting	latex_toc/content/01_introduction.tex:119	BC1,BC2,BC3,BC4,BC5	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:fisher-rank-srank	theorem	Fisher Information = Structural Rank	latex_toc/content/01_introduction.tex:143	SK1,SK2,SK3,FS1,FS2	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:entropy-rank	theorem	Entropy Bounded by Structural Rank	latex_toc/content/01_introduction.tex:167	IT3,IT4	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:fi-coincide	theorem	Thermodynamic Cost from Counting	latex_toc/content/01_introduction.tex:186	FI3,FI6,FI7,WC1,WC2,WC3,WM1,WM3,WM4,WM5,WM6,WR1,WR2,WR3,WR4,WR5,WR6,WR7,WR8,WR9,WR10,WP1,WP5,WP6,WP7,WP8	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:wasserstein-bridge	theorem	Wasserstein Distance = Structural Rank	latex_toc/content/01_introduction.tex:197	W1,W2,W3,W4	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
